,OPERATION NAME,ZIPCODE,VENDOR TYPE,LATITUDE,LONGITUDE
4667,MOBIL - STONY POINT,10980,CONVENIENCE/GAS,41.21615001,-73.98670997
4668,SHELL - STONY POINT,10980,CONVENIENCE/GAS,41.22942894,-73.98789424
4669,TAPPAN MINI MART,10983,CONVENIENCE STORE,41.03518099,-73.95282998
4670,PAL PARKWAY SERVICE,10983,CONVENIENCE/GAS,41.01805933,-73.92881593
4671,NICK'S CONVENIENCE STORE,10983,CONVENIENCE STORE,41.01842402,-73.94348098
4672,V & S VARIETY STORE,10983,DISCOUNT STORE,41.01630901,-73.943658
4673,COVE DELI,10986,DELICATESSEN,41.24750202,-73.988196
4674,BENTLEY'S DELI,10987,DELICATESSEN,41.19350792,-74.18468585
4675,HORLERS GENERAL STORE,10988,CONVENIENCE STORE,41.301702,-74.56132699
4676,LUCKY CONVENIENCE,10989,CONVENIENCE STORE,41.118046,-73.94121803
4677,ATS NEWS & GROCERY,10989,CONVENIENCE STORE,41.11964099,-73.94949197
4678,SHELL - VALLEY COTTAGE,10989,CONVENIENCE/GAS,41.11805798,-73.941947
4679,CITGO-VALLEY COTTAGE,10989,CONVENIENCE/GAS,41.11113201,-73.94538702
4680,KWIK MART,10990,CONVENIENCE STORE,41.25507201,-74.36037496
4681,SHOPRITE OF WARWICK #267,10990,GROCERY SUPERMARKET,41.27235518,-74.35347828
4682,CHESTNUT MART,10990,CONVENIENCE/GAS,41.25983159,-74.35699377
4683,EDENVILLE GENERAL STORE,10990,CONVENIENCE STORE,41.27741502,-74.40827997
4684,WARWICK SUNOCO,10990,CONVENIENCE/GAS,41.26040801,-74.35764104
4685,LARRY'S DELICATESSEN,10990,CONVENIENCE STORE,41.250239,-74.35633204
4686,JIFFY STOP,10990,CONVENIENCE STORE,41.29653598,-74.29035498
4687,PRIORITY VAPE,10990,OTHER,41.25573799,-74.35987901
4688,STOP & SHOP #524,10992,GROCERY SUPERMARKET,41.43003991,-74.16189449
4689,NEWPORT BEVERAGE COMPANY INCORPORATE,10992,LIQUOR/BEVERAGE STORE,41.42563502,-74.16621999
4690,STEWART'S SHOP #322,10992,CONVENIENCE/GAS,41.42825202,-74.16552497
4691,A-PLUS MINI MARKET,10992,CONVENIENCE/GAS,41.42823299,-74.16501602
4692,BP-W.HAVERSTRAW,10993,CONVENIENCE/GAS,41.20344698,-73.98400661
4693,STOP & SHOP #2503,10993,GROCERY SUPERMARKET,41.20638698,-73.98608803
4694,T & B'S GROCERY,10993,GROCERY SUPERMARKET,41.20959201,-73.98236898
4695,DOLLAR GENERAL,10993,DISCOUNT STORE,41.20117201,-73.98461299
4696,SHELL - WEST HAVERSTRAW,10993,CONVENIENCE/GAS,41.20885101,-73.98507299
4697,RAILROAD AVE DELI & GROCERY,10993,DELICATESSEN,41.20922199,-73.98163498
4698,SPEEDWAY,10993,CONVENIENCE/GAS,41.20747499,-73.984255
4699,A'S PLUS TOBACCO,10993,TOBACCO RETAIL,41.20368258,-73.98404934
4700,BEST COUSIN'S DELI,10993,DELICATESSEN,41.20879099,-73.97814098
4701,MINTVAPESNJLLC,10994,OTHER,41.09854001,-73.95938103
4702,MARTHA'S WEST NYACK DELI,10994,DELICATESSEN,41.09442998,-73.96476003
4703,MOBIL - WEST NYACK,10994,CONVENIENCE/GAS,41.09794799,-73.950245
4704,DB MART,10994,CONVENIENCE STORE,41.093577,-73.97180896
4705,ROMANTIC DEPOT,10994,OTHER,41.09390201,-73.95826699
4706,284 CJ'S DELI,10998,DELICATESSEN,41.31069775,-74.56509764
4707,BP,11001,CONVENIENCE/GAS,40.728411,-73.70624403
4708,7 ELEVEN ( STORE # 32123B ),11001,CONVENIENCE STORE,40.72930502,-73.70192299
