,ZIPCODE,geometry,VENDOR TYPE
138,10036,POINT (986945.671017357 214919.3521996129),STAND
139,10036,POINT (986599.7704009938 216260.0571543484),GROCERY SUPERMARKET
140,10036,POINT (986119.5890898447 217247.35555792443),GROCERY SUPERMARKET
141,10036,POINT (986029.5954125527 216864.79890843702),GROCERY SUPERMARKET
142,10036,POINT (987976.4332073359 215251.46005970542),GROCERY SUPERMARKET
143,10036,POINT (986605.345607352 215997.73630093219),GROCERY SUPERMARKET
144,10036,POINT (989310.6548561952 214278.49323296576),GROCERY SUPERMARKET
145,10036,POINT (986060.3138929739 217196.33717090805),GROCERY SUPERMARKET
146,10036,POINT (986758.7770139681 216325.65369792737),GROCERY SUPERMARKET
147,10038,POINT (983127.1518339585 197015.98929577658),GROCERY SUPERMARKET
148,10038,POINT (982582.9282142018 196574.00512240038),GROCERY SUPERMARKET
149,10038,POINT (981480.3844791891 197875.9436923941),GROCERY SUPERMARKET
150,10038,POINT (982510.5892243932 197799.32049631342),GROCERY SUPERMARKET
151,10038,POINT (982725.1813571732 197620.79703720505),STAND
152,10038,POINT (982267.217804474 198252.23549734207),GROCERY SUPERMARKET
153,10038,POINT (982124.351637901 197296.5767021435),GROCERY SUPERMARKET
154,10038,POINT (982471.4223784836 196702.69549601153),STAND
155,10038,POINT (982459.5837532677 197828.47244034705),GROCERY SUPERMARKET
156,10038,POINT (982404.1314805117 197744.68064766264),CONVENIENCE/GAS
157,10038,POINT (981736.8187527544 197905.04873773287),BAR/LOUNGE
158,10038,POINT (984590.9852699651 198866.7555554612),GROCERY SUPERMARKET
159,10038,POINT (981948.3146933705 197489.698652466),STAND
160,10038,POINT (981710.5152711067 198145.50614297765),CONVENIENCE STORE
161,10038,POINT (982682.157511365 197107.09319151632),CONVENIENCE STORE
162,10038,POINT (981811.087634316 197675.5193374697),GROCERY SUPERMARKET
163,10038,POINT (982777.8330404537 197518.76713391824),GROCERY SUPERMARKET
164,10038,POINT (984581.0192110819 198680.94804693572),GROCERY SUPERMARKET
