,ZIPCODE,Normalized_Height
222,10271,544.0
223,10110,704.76
224,10175,463.19041058
225,10151,438.0
226,10173,
227,10178,630.64
228,10121,164.53736002666668
229,10123,561.141043
230,10106,592.22
231,10158,520.66
232,10041,711.0
233,10120,336.69
234,10278,346.41189213
235,10155,502.68
236,10043,344.17
237,10081,820.30621785
238,10096,626.74
239,10097,665.35
240,10196,295.0
241,10196,295.0
242,10275,336.6
243,10265,495.7951924
244,10045,257.22
245,10047,137.0
246,10047,137.0
247,10080,551.300379305
248,10203,657.87
249,10259,678.75
250,10260,709.33
251,10285,739.53371898
252,10286,495.57990608
253,10035,48.72221633035857
254,11371,34.100508884374996
255,11361,22.207985463587924
256,10036,95.48114238962962
257,11414,23.428501136637994
258,10310,23.945252164734654
259,11693,24.357717278652753
260,11249,42.920836981436494
