ZIPCODE,NORMALIZED EDP CALLS,NORMALIZED_TREE_COUNT,LIQUOR_SHOPS_NORMALIZED,NORMALIZED_SMOKE,KW_POTENTIAL,NORMALIZED_RESTAURANT_COUNT,NORMALIZED_SIDEWALK_WIDTH,SIDEWALK CONDITION COMPLAINTS,STREET LIGHT CONDITION COMPLAINTS,NORMALIZED_HEIGHT,POPULATION
10309,-0.2606965386014175,3.6960066898338964,-0.5602762640053643,-0.10198682444184477,1.3917872059305851,-0.15463508001274745,-1.9634955933853528,-0.3705210173867918,0.43867165699540467,-0.4028101716235118,66228.0
10310,0.27361657627763075,0.6504612592931415,-0.09249546780786878,0.10799298866790974,0.006149391653307206,-0.16741961070780015,-0.4418274926827933,0.154979919864498,0.4486779167437904,-0.4454769330878366,50006.0
10312,-0.6138864842645204,3.6599458072341853,-0.6376456155575921,-0.657389391855588,2.4683322736604336,-0.22109893620457605,-0.7945476673970703,0.415804033860527,0.2352893472582569,-0.4206838704464809,117012.0
10314,-0.22356950255964309,1.3285439828516596,-0.4989093592851629,-0.23607394478793242,5.019912699008822,-0.17721216356569225,-1.726010197806391,0.2695566467306558,0.2623107192879649,-0.4314981983414624,170860.0
10451,0.9997279438836474,-0.5020420533433895,0.22993903797695697,0.14746157083882772,0.17855254365513795,-0.10928865460241094,-0.02605552259160208,-0.745288014758306,-0.42966847511595124,-0.07368940602173814,88280.0
10452,0.6219604418224507,-0.6547968939149219,0.11633090236313434,0.3260548034360946,-0.033834639404248766,-0.21944009410559465,-0.27910345413628124,-0.817991352587913,-0.3018667535830688,-0.14773896308780082,152208.0
10453,0.6011333711668035,-0.7101895245562194,-0.10062770430608559,0.058208168145051316,-0.14317253931943288,-0.22139645295657445,-0.1416435872591141,-0.7355817691374312,-0.3107541167803859,-0.20412193306368354,155152.0
10454,0.6993202888187643,-0.6134223461492813,0.3361849924030685,0.31878812695738457,0.12247847012549735,-0.17281856734437775,-0.161655897724097,0.531597144448994,-0.4073389090381265,-0.20662073522846983,74932.0
10455,0.8935494429652528,-0.5559436311485656,0.252435586509576,0.4090318470122342,-0.39365647961901634,-0.15366054713298344,0.7896251898591404,-0.6378788496626525,-0.2798582657018818,-0.23661863890365292,79668.0
10456,0.7954881875067633,-0.6281292351112854,-0.10255896909338798,0.15788921927251823,0.042331323633555566,-0.24342888223299924,0.8216824198993579,-0.7480815599600171,-0.4350154431602145,-0.18327926524160598,178780.0
10457,0.9782116821596906,-0.45160432936537326,0.10802146831488683,0.40966083724383107,0.18493759047518182,-0.21746092494730754,0.75013467054822,-0.5697779106517417,-0.3263512014312406,-0.24241270049101182,140506.0
10458,0.5493892725229453,-0.6640522801182485,0.15065632990046143,0.2822452586050198,0.04921918428085203,-0.15705535189374695,0.18654614606945716,-0.6783025078954716,-0.4070621315040627,-0.20662954975381795,158724.0
10459,0.8468645735258572,-0.37014573784968363,0.3169043908954742,0.19870134229914238,-0.3414464959125091,-0.19568002973989673,0.4408133294311853,-0.36914244916817474,-0.21624657852646306,-0.2921740634476257,93608.0
10460,0.8476833545386088,-0.47583272187080117,0.12489010955371224,0.2104566335011897,0.08562152780181398,-0.22716528829508884,0.21581796105794196,-0.5614022398781275,-0.20007683668692136,-0.31565679625104415,113340.0
10461,0.6395842969192449,0.21785089804068622,0.21395921210876415,0.6174254509299759,0.23581821707676082,-0.13084842948388412,-0.2477899717819462,0.0774143570333344,0.20538192931168112,-0.4240136773508741,101098.0
10462,0.15563057955406473,-0.4963164752531775,-0.21320564352531482,-0.10934182819740565,0.5447456549686546,-0.18487828888683064,0.04112008598907738,-0.6203364449599633,-0.005381521095264682,-0.3552461900438515,151348.0
10463,-2.8441068175977824,-0.8768822248982725,0.4751314351311193,-0.32050615991825654,-0.06460271291572214,-0.10581688445100533,-0.3227243675380197,0.48226161363844067,-0.03384815143794008,0.3185056841183155,282564.0
10464,-5.497786241909749,-0.19011581381008877,4.661628085820728,0.042185428793047125,-1.2299736315531062,1.076207860909169,-2.1175674223875713,6.860718027244506,5.824836846218522,0.22055157667462,26628.0
10465,-0.15721307498360015,0.37051625404372684,-0.5117439286403109,-0.4788528457934361,-0.8196844363755975,-0.19876055915553814,-0.8539910346415437,0.2115194212100329,0.1540419320973816,-0.4444915585239712,84024.0
