CAMIS,DBA,ZIPCODE,Latitude,Longitude
40366054,HEALY'S PUB,11694.0,40.581733753666,-73.830282829448
40366109,FIFTH AVENUE BINGO,11215.0,40.670037593839,-73.985591483957
40366132,DENINO'S PIZZERIA TAVERN,10302.0,40.630024412021,-74.140168869243
40366154,MICHAEL'S RESTAURANT,11229.0,40.607418586159,-73.943003631919
40366222,KILLARNEY ROSE,10005.0,40.705338706862,-74.008692264913
40366230,DON PEPPE,11420.0,40.670258237563,-73.820976082388
40366356,BLARNEY CASTLE,11697.0,40.560775789189,-73.911783397474
40366471,ROLL-N-ROASTER,11235.0,40.58386660862,-73.939690057418
40366473,TIO PEPE,10014.0,40.732056597098,-74.001443280258
40366487,BRENNAN & CARR,11229.0,40.600385883899,-73.94189333042
40366497,THE PUNCH BOWL,10463.0,40.885206062282,-73.900573930546
40366543,JARDIN DE CHINA REST,11368.0,40.750754804569,-73.870360475566
40366574,BLARNEY STONE,10006.0,40.706523941132,-74.013846556301
40366586,SHIMONS KOSHER PIZZA,11367.0,40.727181176223,-73.822096177766
40366652,FASCATI'S PIZZERIA,11201.0,40.698443928676,-73.992545623939
40366661,BABY BO'S CANTINA,10016.0,40.744979132961,-73.975740952272
40366711,LI GRECI'S STAATEN RESTAURANT,10310.0,40.629475941557,-74.11233734162
40366716,SHUN LEE PALACE RESTAURANT,10022.0,40.759376653074,-73.96948371139
40366742,TAMAQUA,11229.0,40.59435177089,-73.930156614832
40366812,CARA MIA,11427.0,40.730704335939,-73.743266950975
40366879,LA FUSTA RESTAURANT,11373.0,40.744706795371,-73.884569670655
40366928,RICHMOND COUNTY COUNTRY CLUB,10304.0,40.58793589848,-74.104072714536
40366938,LULU'S COFFEE SHOP,10462.0,40.831707036899,-73.850999305895
40366961,MITCHELL'S RESTAURANT,11238.0,40.678850369751,-73.968417476489
40367005,DA VINCI PIZZA,11204.0,40.61897967707,-73.990342864857
40367038,MEXICO LINDO RESTAURANT,10010.0,40.739644067898,-73.979614944263
40367161,MARINA DEL REY,10465.0,40.814538549783,-73.815055436186
40367179,TWINS PUB,10001.0,40.753053988387,-73.996556687381
40367189,BROOME STREET BAR,10013.0,40.723116860955,-74.003124280993
40367232,O'HANLON'S PUB,11105.0,40.774948266802,-73.912119596608
40367241,JG MELON RESTAURANT,10021.0,40.771192500921,-73.959531818288
40367338,"TAP ROOM, GRAB & GO",10019.0,40.766718222992,-73.978736594767
40367339,COCKTAIL ROOM (NYAC),10019.0,40.766718222992,-73.978736594767
40367365,THE FLAME DINER,10019.0,40.768431984928,-73.9853426732
40367373,JACKSON HOLE,10065.0,40.764309967429,-73.963456427466
40367377,ZUM STAMMTISCH,11385.0,40.70186889553,-73.881596583326
40367442,BUDDY'S WONDER BAR,10302.0,40.636755420817,-74.134937047229
